"date","new_cases"
"1007","2022-10-05",89185
"1008","2022-10-06",66564
"1009","2022-10-07",65165
"1010","2022-10-08",60542
"1011","2022-10-09",57270
"1012","2022-10-10",42265
"1013","2022-10-11",9367
"1014","2022-10-12",94753
"1015","2022-10-13",67948
"1016","2022-10-14",63862
"1017","2022-10-15",58150
"1018","2022-10-16",55394
"1019","2022-10-17",41657
"1020","2022-10-18",9416
"1021","2022-10-19",87666
"1022","2022-10-20",63031
"1023","2022-10-21",56442
"1024","2022-10-22",48556
"1025","2022-10-23",43734
"1026","2022-10-24",31470
"1027","2022-10-25",6905
"1028","2022-10-26",59653
"1029","2022-10-27",41185
"1030","2022-10-28",36733
"1031","2022-10-29",25720
"1032","2022-10-30",22723
"1033","2022-10-31",16456
"1034","2022-11-01",3767
"1035","2022-11-02",29525
"1036","2022-11-03",5304
"1037","2022-11-04",41938
"1038","2022-11-05",28918
"1039","2022-11-06",26840
"1040","2022-11-07",21178
"1041","2022-11-08",3642
"1042","2022-11-09",40591
"1043","2022-11-10",28117
"1044","2022-11-11",26601
"1045","2022-11-12",26241
"1046","2022-11-13",5577
"1047","2022-11-14",27155
"1048","2022-11-15",6000
"1049","2022-11-16",48971
"1050","2022-11-17",34681
"1051","2022-11-18",32756
"1052","2022-11-19",36869
"1053","2022-11-20",45916
"1054","2022-11-21",14180
"1055","2022-11-22",6731
"1056","2022-11-23",64772
"1057","2022-11-24",49188
"1058","2022-11-25",48321
"1059","2022-11-26",48629
"1060","2022-11-27",48331
"1061","2022-11-28",36230
"1062","2022-11-29",9251
"1063","2022-11-30",91814
"1064","2022-12-01",68382
"1065","2022-12-02",66625
"1066","2022-12-03",59008
"1067","2022-12-04",52908
"1068","2022-12-05",39031
"1069","2022-12-06",10565
"1070","2022-12-07",105516
"1071","2022-12-08",75752
"1072","2022-12-09",70057
"1073","2022-12-10",64801
"1074","2022-12-11",61482
"1075","2022-12-12",44844
"1076","2022-12-13",10862
"1077","2022-12-14",97037
"1078","2022-12-15",68326
